gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000006747,10.21078308,0.555587144,0.607134009,0.915098043,0.360140162,0.769045387
ENSG00000006756,1178.085892,-0.628797604,0.309950213,-2.028705183,0.042488328,0.286184805
ENSG00000006757,869.0002291,-0.078369551,0.239846294,-0.326749058,0.743857692,0.936213542
ENSG00000006788,0.327601631,0.150206387,0.332044137,0.452368738,0.651003364,NA
ENSG00000006831,4498.344453,0.109980072,0.207749105,0.529388912,0.596535688,0.889090762
ENSG00000006837,15.15951245,-0.176464325,0.513773306,-0.343467289,0.731246945,0.934341575
ENSG00000007001,0.844407904,0.085967607,0.452931922,0.189802491,0.849463904,NA
ENSG00000007038,29.91457988,0.568617936,0.554601418,1.025273137,0.305234327,0.728990725
ENSG00000007047,4476.039996,-0.11431617,0.27939507,-0.409156004,0.682425179,0.919119866
ENSG00000007062,1.805035434,0.345171725,0.527590265,0.654242029,0.512955888,NA
ENSG00000007080,3583.324894,0.108566227,0.237198894,0.457701237,0.647167099,0.907291281
ENSG00000007168,6360.405731,-0.097631331,0.247349546,-0.394709966,0.693056947,0.923581275
ENSG00000007171,0.614133521,-0.27229447,0.342287713,-0.795513422,0.426314907,NA
ENSG00000007174,68.49378263,0.615844074,0.342783696,1.796596752,0.07239966,0.385125971
ENSG00000007202,7400.359608,-0.132627508,0.197092988,-0.672918452,0.500999173,0.853180732
ENSG00000007216,0.466361069,0.214645304,0.33292766,0.644720548,0.519108298,NA
ENSG00000007237,134.1759486,-0.098054031,0.28526566,-0.343728828,0.731050229,0.934341575
ENSG00000007255,149.2031014,-0.514486486,0.30893228,-1.665369786,0.095839003,0.445029049
ENSG00000007264,7.770299371,-0.601691131,0.606755685,-0.991653059,0.321366797,0.739775279
ENSG00000007306,1.24294695,-0.648780325,0.476242377,-1.362290205,0.173106318,NA
ENSG00000007312,3.244075816,-0.358175743,0.597586431,-0.599370609,0.548925772,NA
ENSG00000007341,364.5959426,0.180391087,0.2479836,0.727431522,0.46696165,0.836838806
ENSG00000007350,0.308979326,-0.00632072,0.332044137,-0.019035782,0.98481256,NA
ENSG00000007372,30.65934558,0.836460308,0.4970489,1.68285315,0.092403523,0.437368655
ENSG00000007376,1292.369118,-0.151944422,0.317313215,-0.478846813,0.632047611,0.903505637
ENSG00000007384,1293.373728,-0.062145268,0.21643665,-0.287129134,0.774013445,0.942803585
ENSG00000007392,691.9899964,0.262329605,0.287051686,0.913875856,0.360782082,0.769205999
ENSG00000007402,18.36739854,-0.778832921,0.552664232,-1.409233447,0.158766151,0.565555534
ENSG00000007516,5.443631011,-0.110798203,0.597845352,-0.185329203,0.852970834,0.963362562
ENSG00000007520,2405.81349,0.443851747,0.282373518,1.571860386,0.115982933,0.488251131
